epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,4601.72,0.52569,0.38903,1.04261,0.7087,0.63894,0.70341,0.56944,0.814,0.65096,1.40446,0.006568,0.006568,0.006568
106,4645.3,0.53396,0.39708,1.04569,0.67999,0.63458,0.70231,0.57009,0.81496,0.64975,1.40265,0.006535,0.006535,0.006535
107,4688.96,0.52714,0.38809,1.04014,0.67809,0.64913,0.70386,0.57136,0.81315,0.65204,1.40144,0.006502,0.006502,0.006502
108,4732.71,0.5265,0.38623,1.03923,0.66051,0.66678,0.70196,0.56944,0.8154,0.65383,1.40463,0.006469,0.006469,0.006469
109,4776.29,0.5305,0.38826,1.04113,0.65897,0.6699,0.70879,0.57301,0.81061,0.65447,1.39887,0.006436,0.006436,0.006436
110,4819.8,0.52681,0.39005,1.0396,0.65761,0.68829,0.71298,0.57263,0.81185,0.65251,1.39823,0.006403,0.006403,0.006403
111,4863.49,0.52875,0.38391,1.03687,0.65841,0.70056,0.70823,0.57446,0.80354,0.65811,1.3901,0.00637,0.00637,0.00637
112,4907.11,0.53039,0.39248,1.04525,0.65309,0.68535,0.7068,0.57176,0.79981,0.6629,1.38468,0.006337,0.006337,0.006337
113,4950.93,0.52282,0.38105,1.03939,0.6418,0.69784,0.70578,0.56969,0.80075,0.66664,1.38462,0.006304,0.006304,0.006304
114,4994.71,0.52409,0.37669,1.03797,0.63481,0.66778,0.71205,0.57362,0.80129,0.66963,1.38308,0.006271,0.006271,0.006271
115,5038.76,0.52704,0.3871,1.0385,0.63557,0.68145,0.70968,0.57345,0.80071,0.67301,1.38264,0.006238,0.006238,0.006238
116,5082.46,0.51803,0.38488,1.03637,0.66528,0.66063,0.71427,0.5788,0.80169,0.66813,1.38342,0.006205,0.006205,0.006205
117,5126.43,0.51787,0.37807,1.0358,0.66582,0.65967,0.71129,0.57612,0.79749,0.67205,1.38042,0.006172,0.006172,0.006172
